Question	Metadata	Label
Questions about: - Accessing the ideation platform - Logging in to Swaggerhub (coming soon) - Testing the APIs before the NYC Hackathon - Other? This is the place!	#info, #general	D
Is this your first hackathon or are you a well seasoned Hackathon'er? Either way, you should check out this video down below and see just what it will take to win this weekend's Redline Hackathon and even get a brief demo on the how to use SwaggerHub and the yuuvis client for checking your data. <URL> 	#general	D
is there on GET: /dms/objects to return all the documents in a tenant?	#document	D
Hi I have a question regarding curl requests for the API and in python in particular - would appreciate some insight I'm at table 3 more specifically I'm having issues passing in the -F as it turns my dictionary into a set, yielding an error from the requests library 	#api	D
hi i;m having a CORS problem with the yuuvis api	#api	D
Hi I have a question regarding uploading an object with a Bash command - at table 2 table 3	#code	D
What is the resource link to ai/ml and cloud intergratiom?	#resource#cloud	D
what do you mean with resource link?	#resource	D
Do we have any specific dataset from redline?	#data	D
Err actually, does anyone know how to get the object id of the document you uploaded? I'm still trying to figure that out on swagger	#document	D
the objectid is part of the response if you uploaded your document e.g. "properties": {                "enaio:objectId": {                    "value": "c69595ae-5b60-4c4a-a84c-d74425578d9f"                },	#document	D
oh okay! is there a way to get all the files without neededing the objectid? like a select * from [object] kinda thing The only website I'm using for documentation is <URL> and there's not a whole lot it seems like for documentation	#document	D
Does redline have a code exmaple for this?	#code	D
is it possible to add properties to metadata.json? i just tried in the Properties json nest and I got "ValidationException: Illegal pro	#code #json	D
I attempted to follow the tutorial and the json response is RESOURCE NOT FOUND	#json #code #tutorial	D
the tutorial suggests using <URL> when that didn't work I used the url in the pdf document, <URL> (edited)  I received the same result, RESOURCE NOT FOUND	#tutorial	D
I have question regarding when I use the python api, <URL> also resulting into a 404	#python #api #404 #code	D
for people using the python api  header_dict[header_name] = ‘multipart/form-data, application/x-www-form-urlencoded’ don’t set this header, and things will work right out the box from the code snippets in git	#python #api #code	D
The Uber discount code is not working	#uber #event	X
so sorry! If you had to pay, we will reimburse you	#uber #event	X
If you registered after Thursday and/or don't have your API keys, tag me, let me know your name/email, and I'll get them to you	#api	X
